"caption","date","time","networks","media_url","post_type"
"Reg Austin obituary

via The Guardian

https://www.mutapatimes.com/news/2026-05-08-reg-austin-obituary-23f5bc.html

#Zimbabwe #News #Africa","2026-05-11","07:00","LinkedIn","https://media.guim.co.uk/1f064d44e5174f53194e6f35cc12e2066f6cfc37/0_34_538_430/500.jpg","image"
"Reg Austin obituary

via The Guardian. Read more: https://www.mutapatimes.com/news/2026-05-08-reg-austin-obituary-23f5bc.html","2026-05-11","09:00","Facebook","https://media.guim.co.uk/1f064d44e5174f53194e6f35cc12e2066f6cfc37/0_34_538_430/500.jpg","image"
"Reg Austin obituary

via The Guardian
https://www.mutapatimes.com/news/2026-05-08-reg-austin-obituary-23f5bc.html","2026-05-11","10:00","Threads","https://media.guim.co.uk/1f064d44e5174f53194e6f35cc12e2066f6cfc37/0_34_538_430/500.jpg","image"
"Reg Austin obituary via The Guardian
https://www.mutapatimes.com/news/2026-05-08-reg-austin-obituary-23f5bc.html","2026-05-11","06:00","Twitter","https://media.guim.co.uk/1f064d44e5174f53194e6f35cc12e2066f6cfc37/0_34_538_430/500.jpg","image"
"Reg Austin obituary

The full story via The Guardian.

Read more → mutapatimes.com (link in bio)

#Zimbabwe #ZimbabweNews #Africa #News #DiasporaNews","2026-05-10","16:00","Instagram","https://www.mutapatimes.com/img/cards/reg-austin-obituary-23f5bc.png","image"
"Farmers unite to tackle climate challenges, boost yields

via The Herald

https://www.mutapatimes.com/news/2026-05-08-farmers-unite-to-tackle-climate-challenges-boost-yields-8191ba.html

#Zimbabwe #News #Africa","2026-05-11","08:30","LinkedIn","https://www.heraldonline.co.zw/wp-content/uploads/2026/05/Mutodi-Farm.jpg","image"
"Farmers unite to tackle climate challenges, boost yields

via The Herald. Read more: https://www.mutapatimes.com/news/2026-05-08-farmers-unite-to-tackle-climate-challenges-boost-yields-8191ba.html","2026-05-11","11:00","Facebook","https://www.heraldonline.co.zw/wp-content/uploads/2026/05/Mutodi-Farm.jpg","image"
"Farmers unite to tackle climate challenges, boost yields

via The Herald
https://www.mutapatimes.com/news/2026-05-08-farmers-unite-to-tackle-climate-challenges-boost-yields-8191ba.html","2026-05-11","12:00","Threads","https://www.heraldonline.co.zw/wp-content/uploads/2026/05/Mutodi-Farm.jpg","image"
"Farmers unite to tackle climate challenges, boost yields via The Herald
https://www.mutapatimes.com/news/2026-05-08-farmers-unite-to-tackle-climate-challenges-boost-yields-8191ba.html","2026-05-11","09:00","Twitter","https://www.heraldonline.co.zw/wp-content/uploads/2026/05/Mutodi-Farm.jpg","image"
"Farmers unite to tackle climate challenges, boost yields

The full story via The Herald.

Read more → mutapatimes.com (link in bio)

#Zimbabwe #ZimbabweNews #Africa #News #DiasporaNews","2026-05-10","17:30","Instagram","https://www.mutapatimes.com/img/cards/farmers-unite-to-tackle-climate-challenges-boost-yields-8191ba.png","image"
