INDICATOR,Units,Scale,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025,2025 Q1,2025 Q2,2025 Q3,2025 Q4
A. Current Account,US dollars,millions,-730.4519236,-1655.367038,-2749.498455,-2277.559109,-2648.739712,-2333.816056,-1596.647098,-697.4282338,-271.191369,-115.3049807,-321.6539748,-14.9956425,180.763229,-1379.638187,-480.4070494,-442.2106123,-295.9658976,-161.0546276,920.4598266,153.3567346,-82.56450854,249.065376,600.6022245,678.378293,138.9426063,95.82776091,315.0314773,128.5764486,348.2154361,-366.4441939,269.2772158,134.5017357,310.8806785,304.9657332,187.9728364,209.8945382,-81.42235962,-11.47928177,133.8774685,-78.73439809,51.18513774,86.97181704,74.45491179,501.2007675,152.2068037,-36.7173999,-84.5365289,470.2478926,1819.6,-19.66665603,270.6957193,791.2191942,821.1
Goods and Services,US dollars,millions,-1788.396752,-2906.786641,-4402.368225,-4081.526181,-4226.656114,-3872.565701,-3250.614139,-2129.622582,-1581.086032,-467.8052713,-644.519856,-352.82276,-115.9381448,-2464.047843,-774.1905083,-729.8117684,-552.5946026,-407.4509636,-131.4426344,-81.36956481,-352.3522746,10.57789912,291.7013059,-643.8878498,-228.7117971,-137.7779987,-17.90851428,-259.4895398,-1529.047177,-632.0348919,-289.3394711,-369.6215096,-238.0513042,-2115.076198,-250.6693331,-501.173589,-739.5640074,-623.6692687,-2690.324728,-716.4111045,-592.0412224,-671.4162881,-710.4561124,-2463.716122,-559.4912215,-738.8491811,-837.7078871,-327.6678322,-1018.6,-640.0635986,-318.288016,64.33780654,36.2
Exports,US dollars,millions,1849.567699,3533.487381,4870.133199,4304.627237,4164.18201,4045.360608,3964.160116,4059.676948,4640.216633,1013.917406,923.7407972,1221.838857,1480.719572,5178.154121,1166.118691,1178.84799,1363.373185,1469.814254,5266.92467,1141.302325,1104.881808,1331.613858,1689.126679,5263.282721,1270.302779,1014.734484,1360.433091,1617.812367,6574.804395,1128.417707,1623.827714,1788.567945,2033.991029,7453.497132,1911.030236,1831.846821,1742.255759,1968.364317,7602.717934,1505.478667,1960.581537,2027.17009,2109.48764,8251.712816,1843.856185,1710.640028,2083.301584,2613.915018,10763.4,1904.731681,2438.854093,3020.361811,3303.6
Imports,US dollars,millions,3637.964452,6440.274022,9272.501424,8386.153418,8390.838124,7917.926309,7214.774255,6189.29953,6221.302665,1481.722677,1568.260653,1574.661617,1596.657717,7642.201964,1940.3092,1908.659759,1915.967788,1877.265218,5398.367304,1222.67189,1457.234083,1321.035959,1397.425373,5907.17057,1499.014576,1152.512482,1378.341605,1877.301907,8103.851572,1760.452599,1913.167185,2158.189454,2272.042333,9568.57333,2161.699569,2333.02041,2481.819766,2592.033586,10293.04266,2221.889772,2552.622759,2698.586378,2819.943752,10715.42894,2403.347407,2449.489209,2921.009471,2941.582851,11782,2544.79528,2757.142109,2956.024004,3267.3
Balance on Goods,US dollars,millions,-1100.912762,-1835.746148,-2925.773804,-2646.649065,-2685.539345,-2282.608606,-2113.530893,-1262.568382,-927.0265737,-310.2251553,-465.0585698,-207.3856166,55.64276793,-1938.402458,-640.1906905,-590.1451061,-422.3977023,-285.6689592,174.4154405,8.640622948,-254.1469563,79.99138654,339.9303873,-139.0149867,-76.03012236,-16.38332789,98.95473424,-145.5562707,-779.3534245,-490.8083664,-108.607184,-107.1902115,-72.74766261,-1131.595186,-50.3568898,-320.0586675,-496.72883,-264.4507984,-1452.927728,-450.1476802,-284.4255706,-320.2526387,-398.1018384,-1261.97038,-258.7713111,-478.7696913,-505.5680103,-18.86136762,495.4,-314.4602663,11.44742709,467.4013383,485.7
Exports,US dollars,millions,2704.954926,5080.811857,7453.336794,6610.421644,6495.816199,5964.707117,5691.009109,4925.507345,5090.623889,1186.922144,1275.807907,1301.413348,1326.48049,6616.035197,1678.758058,1634.099712,1654.520646,1648.656782,4489.260958,1024.712769,1221.50331,1074.819937,1168.224942,5070.861325,1242.100344,959.4863217,1192.142279,1677.13238,7138.423161,1572.358734,1676.804398,1843.677379,2045.582651,8131.802617,1863.174113,1986.263535,2119.759407,2162.605562,8656.440887,1878.620511,2144.025541,2238.684168,2395.110666,9056.565525,2011.957968,2077.614423,2444.403684,2522.589451,10234.6,2105.379223,2305.434793,2398.302747,3169.2
Imports,US dollars,millions,1604.042164,3245.065709,4527.56299,3963.772579,3810.276854,3682.098511,3577.478216,3662.938962,4163.597315,876.6969886,810.7493374,1094.027731,1382.123258,4677.632739,1038.567368,1043.954606,1232.122943,1362.987823,4663.676399,1033.353392,967.3563538,1154.811324,1508.155329,4931.846338,1166.070221,943.1029939,1291.097014,1531.576109,6359.069737,1081.550367,1568.197214,1736.487167,1972.834989,7000.207432,1812.817223,1666.204868,1623.030577,1898.154764,7203.513159,1428.472831,1859.599971,1918.431529,1997.008828,7794.595145,1753.186657,1598.844732,1938.835674,2503.728083,9739.2,1790.918957,2316.88222,2865.704086,2683.5
Balance on Services,US dollars,millions,-687.4839906,-1071.040493,-1476.594421,-1434.877116,-1541.116769,-1589.957096,-1137.083246,-867.0542,-654.0594585,-157.580116,-179.4612862,-145.4371434,-171.5809128,-525.6453848,-133.9998177,-139.6666623,-130.1969003,-121.7820044,-305.8580749,-90.01018776,-98.20531833,-69.41348742,-48.22908142,-504.8728631,-152.6816747,-121.3946708,-116.8632485,-113.9332691,-749.6937523,-141.2265255,-180.7322871,-262.4312981,-165.3036416,-983.4810125,-200.3124433,-181.1149215,-242.8351774,-359.2184703,-1237.397,-266.2634243,-307.6156518,-351.1636495,-312.354274,-1201.745742,-300.7199104,-260.0794899,-332.1398768,-308.8064646,-1514,-325.6033324,-329.7354431,-403.0635318,-449.5
Exports,US dollars,millions,245.5255349,288.4216718,342.570209,340.8546583,353.9051561,363.2620971,386.6819008,396.7379857,476.619318,137.2204173,112.9914598,127.8111262,98.59631468,500.5213815,127.5513237,134.8933842,131.2502421,106.8264316,603.2482714,107.9489328,137.5254545,176.8025346,180.9713496,331.4363825,104.2325571,71.63148973,69.3360774,86.23625831,215.7346581,46.86733977,55.6305,52.08077772,61.15604061,453.2897003,98.21301242,165.6419529,119.2251819,70.20955308,399.2047751,77.00583633,100.9815658,108.7385607,112.4788123,457.1176711,90.66952837,111.7952966,144.4659107,110.1869355,528.8,113.8127249,121.9718726,154.6577248,134.4
Imports,US dollars,millions,933.0095255,1359.462165,1819.16463,1775.731775,1895.021925,1953.219193,1523.765146,1263.792186,1130.678776,294.8005333,292.4527461,273.2482697,270.1772275,1026.166766,261.5511414,274.5600465,261.4471424,228.608436,909.1063464,197.9591206,235.7307728,246.216022,229.200431,836.3092456,256.9142318,193.0261605,186.1993259,200.1695274,965.4284104,188.0938652,236.3627871,314.5120759,226.4596822,1436.770713,298.5254557,346.7568745,362.0603593,429.4280233,1636.601775,343.2692607,408.5972176,459.9022102,424.8330863,1658.863413,391.3894388,371.8747864,476.6057874,418.9934001,2042.8,439.4160573,451.7073156,557.7212566,583.8
